article_id	source_name	source_region	date	phase	headline	body_text
13	sbs news	west	07-05-2025	after	"Australians warned: What we know so far about India's missile attack on Pakistan
"	Indiaâ€™s missile strikes on nine sites in Pakistan and Pakistan-administered Kashmir under what it called Operation Sindoor have prompted Australia to update its travel advice, warning citizens to exercise a high degree of caution in India and to reconsider travel to Pakistan amid the worst fighting between the two countries in years. Australian authorities advised travellers to monitor local media, follow official warnings, and avoid Jammu and Kashmir, the entire India-Pakistan border and Manipur, while urging Australians to reconsider any need to travel to Pakistan. The escalation began on Wednesday morning when Indian forces said they targeted terrorist infrastructure from where attacks against India had been planned and directed, describing their actions as focused, measured and non-escalatory, and stating that no Pakistani military facilities were hit. Pakistan condemned the strikes as a blatant act of war, with its military reporting at least 26 people killed, including a child, and 46 injured, and accusing India of striking civilian areas, including mosques, while India said three of its civilians were killed by Pakistani shelling along the Line of Control. Pakistan said Indian missiles were launched from within Indian airspace, claimed to have shot down five Indian planes, and vowed retaliation, with military officials stating that a resolute response was under way. The strikes came amid heightened tensions following an April attack on tourists in Pahalgam in Indian-administered Kashmir that killed at least 26 people, an incident India blamed on Pakistan and Pakistan denied, calling instead for a neutral investigation. The renewed violence triggered power outages in parts of Pakistan-administered Kashmir, led several international airlines to suspend flights to Pakistan, and drew international concern, with the United Nations urging maximum military restraint and the United States calling for the situation to end quickly.
14	aljazeera	middle east	07-05-2025	during	Operation Sindoor: WhatÃ¢â‚¬â„¢s the significance of IndiaÃ¢â‚¬â„¢s Pakistan targets?	India carried out multiple missile strikes early on Wednesday on sites in Pakistan and Pakistan-administered Kashmir in an operation it called Operation Sindoor, which Pakistan said it retaliated against by shooting down Indian military aircraft, as violence escalated sharply between the two countries. PakistanÃ¢â‚¬â„¢s military said at least 31 civilians were killed across six locations, while India said it struck nine sites that it described as terrorist infrastructure linked to groups such as Lashkar-e-Taiba and Jaish-e-Muhammad, a justification Pakistan rejected, saying civilian areas, mosques and residential neighbourhoods were targeted. India said the strikes were in response to the April 22 attack in Pahalgam in Indian-administered Kashmir in which 26 tourists were killed, an attack claimed by The Resistance Front, which India alleges is linked to Pakistan-based Lashkar-e-Taiba, an allegation Islamabad denies while calling for a neutral investigation. Following the Pahalgam attack, both countries took a series of retaliatory diplomatic steps, including suspending treaties, scaling back diplomatic ties and expelling citizens. India said five of the nine sites it hit were in Pakistan-administered Kashmir and four were in PakistanÃ¢â‚¬â„¢s Punjab province, including locations in Muridke, Bahawalpur, Muzaffarabad, Kotli, Sialkot and nearby areas, which Indian officials described as training camps, staging areas and headquarters used for recruitment, indoctrination and planning attacks, while Pakistani officials said the strikes killed civilians, including women and children, and damaged mosques and homes. The strikes marked the most extensive Indian attacks on Pakistani territory in decades and the first since 1971 to hit Punjab, including areas close to major population centres such as Lahore. Heavy shelling and gunfire continued along the Line of Control, further heightening fears of escalation, as both sides accused each other of aggression and misinformation, and international observers noted that the confrontation represented a significant escalation compared with recent crises between the two nuclear-armed neighbours.
15	bbc	west	07-05-2025	during	What we know about India's strikes on Pakistan and Pakistan-administered Kashmir	Two weeks after a militant attack on tourists in Indian-administered Kashmir, India launched a series of strikes on sites in Pakistan and Pakistan-administered Kashmir, describing the operation, named Operation Sindoor, as part of its effort to hold accountable those responsible for the 22 April attack in Pahalgam that killed 25 Indians and one Nepali national. Pakistan denied any involvement in the Pahalgam attack and described IndiaÃ¢â‚¬â„¢s strikes as unprovoked, with its prime minister warning that the action would not go unanswered and reiterating that Pakistan was being wrongly accused. PakistanÃ¢â‚¬â„¢s military said dozens of people were killed or injured in the Indian strikes, while India reported civilian casualties from Pakistani shelling along the de facto border, and Pakistan claimed it had shot down Indian aircraft and a drone, a claim India has not addressed. India said it targeted nine locations that it described as terrorist infrastructure involved in planning and directing attacks, stressing that no Pakistani military facilities were hit and that the strikes were focused, measured and non-escalatory, while Pakistan said civilian areas were struck and rejected IndiaÃ¢â‚¬â„¢s claims. The escalation followed weeks of rising tensions after the Pahalgam killings, which survivors said involved militants singling out Hindu men and which marked the deadliest attack on civilians in the region in two decades. The incident reignited anger in India, with leaders vowing severe punishment for those responsible, and Indian authorities later alleging that the attackers included Pakistani nationals and were linked to Pakistan-based militant groups, accusations Islamabad denies. In the weeks after the attack, both countries took reciprocal diplomatic and administrative measures, and the strikes raised fears of further escalation similar to previous crises following attacks in 2016 and 2019. Kashmir remains a longstanding flashpoint claimed by both India and Pakistan since their partition in 1947, having seen wars, insurgency and repeated militant attacks that have periodically pushed the nuclear-armed neighbours to the brink, prompting international calls for restraint, dialogue and de-escalation.
16	istanbul gov	middle east	10-05-2025	during	Summary of Operation SINDOOR	On 22 April, a Pakistan-based terrorist group calling itself The Resistance Front carried out an attack in Pahalgam, India, in which 26 tourists were killed after being separated on the basis of religion, and the group, described as an offshoot of Lashkar-e-Taiba, claimed responsibility for the attack multiple times within hours. Following what India described as PakistanÃ¢â‚¬â„¢s failure to acknowledge or curb such terrorist networks, the Government of India launched Operation Sindoor on the night of 7Ã¢â‚¬â€œ8 May 2025, carrying out what it said were non-escalatory and precise strikes against terrorist training camps at nine locations in Pakistan and Pakistan-administered Kashmir, without engaging military targets. In the early hours of 8 May, Pakistan responded with coordinated drone and missile strikes aimed at multiple Indian military installations across northern and western regions, which India said were intercepted by its air defence systems, with debris traced to Pakistani origin. India subsequently conducted targeted strikes against Pakistani air defence systems that it said had facilitated the earlier attacks, stating that these actions were limited in scope and intensity to avoid escalation. Along the Line of Control in Jammu and Kashmir, Pakistan also carried out mortar and heavy artillery fire into civilian areas, resulting in civilian casualties, to which India responded with proportional artillery fire. India stated that its actions under Operation Sindoor were guided by the objective of protecting sovereignty and civilian lives while avoiding broader conflict, maintaining that its military response was limited to terrorist infrastructure and consistent with international norms. India reiterated its position that Pakistan has been linked to multiple terrorist attacks in the past and said it has shared evidence with international bodies, including submissions to the United Nations sanctions committee, while accusing Pakistan of obstructing past investigations. In this context, India placed the Indus Waters Treaty in abeyance, citing changes in circumstances and alleging PakistanÃ¢â‚¬â„¢s refusal to engage in dialogue, and described Operation Sindoor as a restrained and measured response to a terrorist attack originating from Pakistan.
17	austraila institute of international affairs	west	22-05-2025	after	Operation Sindoor: Gendered Framing and Strategic Messaging in Indiaâ€™s Retaliatory Strikes	Indiaâ€™s strategic communication surrounding Operation Sindoor employed gendered narratives as part of its broader messaging to shape domestic sentiment and international perceptions following its retaliatory strikes. On 7 May 2025, India carried out a series of precision missile strikes targeting nine sites described as terrorist camps in Pakistan and Pakistan-occupied Jammu and Kashmir in response to the 22 April Pahalgam attack that killed 26 tourists. The operation was named after â€œsindoor,â€ a vermilion symbol associated with married Hindu women, and was framed by Indian authorities as an act of justice for widows, with two female military officers leading the official media briefing alongside the foreign secretary. The strikes, conducted between 1:05 am and 1:30 am IST, targeted locations in Bahawalpur, Muridke, Sialkot and Shakar Garh in Pakistan, and Muzaffarabad, Kotli, Gulpur, Bhimber and Bagh in Pakistan-administered Kashmir, which India said were linked to Lashkar-e-Taiba, Jaish-e-Mohammed and Hizbul Mujahideen, while stating that Pakistani military installations and civilian areas were avoided. Indian officials said 31 suspected militants were killed. Subsequent developments included Indian operations against Pakistani air defence systems, further precision strikes following Pakistani retaliation, and a halt to hostilities after Pakistan sought cessation through military communication channels, though India avoided formally describing it as a ceasefire. Domestically, the operation received broad political support across party lines, while internationally the gendered framing was largely overshadowed by strategic and realpolitik considerations. India later announced the formation of all-party parliamentary delegations to present its position on cross-border terrorism globally. The operation was presented by Indian authorities as aligned with broader strategic objectives of deterring terrorism, maintaining escalation control, and reinforcing regional deterrence, combining military action with symbolic messaging to situate the response within a moral and political narrative rather than solely a military one.
18	times of india	south asia	10-08-2025	during	operation sindoor india's powerful retaliation against pakistan	On May 7, 2025, India launched Operation Sindoor, a large-scale military operation targeting what it described as terror infrastructure inside Pakistan and Pakistan-occupied Kashmir in response to the April 22 attack in Pahalgam, Jammu and Kashmir, in which 26 people were killed. In a coordinated mission lasting about 22 minutes, Indian forces struck nine locations identified as terror camps and support facilities, ranging from Muridke to Bahawalpur, areas long associated by India with groups such as Lashkar-e-Taiba and Jaish-e-Mohammed. The operation was led primarily by the Indian Air Force, with support from loitering munitions and ground-based artillery, and Indian officials said the strikes successfully bypassed Pakistani air defence systems. Indian authorities characterised the operation as a calibrated escalation aimed at targeting threats beyond the Line of Control, with the foreign secretary describing the strikes as measured, non-escalatory and proportionate, senior ministers calling the action significant, and the government signalling that future provocations would be met with firm responses, underscoring IndiaÃ¢â‚¬â„¢s stated intent to act decisively against cross-border terrorism.
19	the australia today	west		after	OSINT expert reveal with proof: Indiaâ€™s â€˜Operation Sindoorâ€™ crippled key Pakistani military bases	India carried out precision strikes under Operation Sindoor in response to the 22 April terror attack in Pahalgam that killed 26 civilians, targeting nine sites in Pakistan and Pakistan-administered Jammu and Kashmir on 7 May. Satellite imagery analysed by open-source intelligence experts indicated damage to several Pakistani airbases and military installations, including runway strikes at Sargodha Airbase and the temporary closure of the runway at Rahim Yar Khan Airbase, where a notice to airmen declared it non-operational until mid-May. Additional satellite imagery from Indian and Chinese providers showed structural damage at Nur Khan, Bholari and Jacobabad airbases, with impacts focused on ground infrastructure, hangars and operational areas rather than aircraft. Following several days of cross-border hostilities that included Pakistani retaliation involving drones, artillery and missiles, Pakistanâ€™s Director General of Military Operations contacted his Indian counterpart on 10 May requesting a ceasefire, which India accepted after conducting further limited strikes on military targets. Indian officials stated that these actions involved precision strikes against technical infrastructure, command and control centres, radar sites and weapons storage facilities at locations including Murid, Chaklala, Rahim Yar Khan, Sukkur and Sunia, as well as radar installations at Pasrur and Sialkot. Indian authorities maintained that the operation was measured and non-escalatory, aimed at dismantling the infrastructure of militant groups designated by the United Nations, and sought to avoid civilian areas and military assets not linked to such activities. Independent analysis also noted the circulation of manipulated images online claiming damage to Indian military sites, while satellite imagery showed no evidence of recent strike-related damage at locations such as Udhampur Airport. International media reports indicated that strikes near sensitive military installations contributed to heightened concern in Pakistan, preceding the ceasefire request, and although tensions remain elevated, active hostilities have paused following the agreement.
20	news18	west		after	Ceasefire An Act Of Indian Leadership, Not An Easy Decision': Australian Deputy PM On Op Sindoor | Exclusive	Australian Deputy Prime Minister and Defence Minister Richard Marles praised Indiaâ€™s retaliatory strikes under Operation Sindoor and described the subsequent ceasefire between India and Pakistan as an act of Indian leadership, saying it was likely not an easy decision. In an interview, Marles said Australia reacted with shock to the April 22 terror attack in Pahalgam, in which 26 tourists were killed, and noted that Australian Prime Minister Anthony Albanese had personally conveyed condolences to Indian Prime Minister Narendra Modi. He reiterated Australiaâ€™s solidarity with India and its support for efforts to combat terrorism globally, stating that Australia stands with all countries facing such threats. Marles welcomed the stoppage of military action following Operation Sindoor and said Australia viewed this restraint as leadership on Indiaâ€™s part, while also acknowledging the seriousness of the terror attack that prompted the strikes. He added that Australia looks forward to continuing cooperation with India in counterterrorism efforts and said that all countries have an interest in peace, welcoming the halt in hostilities. Operation Sindoor was launched by India on May 7 in response to the Pahalgam attack and targeted what India described as terror infrastructure in Pakistan and Pakistan-administered Jammu and Kashmir, with India and Pakistan agreeing to a ceasefire on May 10.
21	 arab news	middle east		after	India strikes Pakistan in aftermath of Kashmir tourist killings	India attacked nine sites in Pakistan and Pakistan-administered Kashmir, triggering the worst fighting in years between the two nuclear-armed neighbours, with at least three deaths reported and Pakistan saying it was mounting a response. The two sides exchanged intense shelling and heavy gunfire across the disputed Kashmir frontier in multiple locations, according to police and witnesses. The Indian strikes followed heightened tensions after an April 22 attack in Indian-administered Kashmir in which Islamist assailants killed 26 Hindu tourists, the deadliest such civilian attack in nearly two decades. Pakistan said India launched missiles at three locations, while India said it targeted terrorist infrastructure where attacks against it had been planned and directed. Video aired by Indian television channels showed explosions, fires, smoke and people fleeing in parts of Pakistan and Pakistan-administered Kashmir, though the footage could not be independently verified. Witnesses in Indian-administered Kashmir reported loud explosions, heavy artillery fire and aircraft activity near the frontier. Pakistanâ€™s prime minister said the country was responding to the attacks, while an emergency was declared in Pakistanâ€™s Punjab province and hospitals and emergency services were placed on high alert. India said the strikes were part of Operation Sindoor and described its actions as focused, measured and non-escalatory, stating that no Pakistani military facilities were targeted. Pakistani officials said two mosques were hit and that civilian sites, not militant camps, were struck, reporting at least three deaths and multiple injuries, and accused India of firing missiles from its own airspace. After the strikes, the Indian army posted that justice had been served. The escalation caused a drop in Indian stock futures and led to power outages in Muzaffarabad. India reiterated its accusation that Pakistan was responsible for the April attack, while Pakistan denied involvement and said it had prior intelligence of an Indian strike. The operationâ€™s name, Sindoor, refers to the traditional vermilion worn by married Hindu women, symbolising marital commitment, which women traditionally stop wearing when widowed.
22	the guardian	asia		after	Pakistan decries â€˜act of warâ€™ as it retaliates against India missile attack	At least 26 people, including several children, were killed and 46 injured after India launched attacks on what it described as nine sites of terrorist infrastructure inside Pakistan, marking a sharp escalation between the two nuclear-armed neighbours. Pakistan declared the strikes an act of war and claimed it shot down five Indian air force jets and a drone, stating that it had given a befitting reply, while India accused Pakistan of involvement in a previous attack on Hindu tourists in Indian-administered Kashmir that killed 26 people and said it was holding those responsible accountable. One missile strike hit a mosque in Bahawalpur in Pakistanâ€™s Punjab province, killing 13 people including two three-year-old girls, while other locations near Muridke in Punjab and Kotli in Pakistan-controlled Kashmir were also struck, including mosques where civilians, among them a 16-year-old girl, were killed. The Indian army said the overnight strikes targeted terrorist training camps and militants linked mainly to Lashkar-e-Taiba and Jaish-e-Mohammed, claiming intelligence indicated further attacks were imminent and that the action was intended to deter and pre-empt them, describing the strikes as measured, proportionate and non-escalatory. Pakistan rejected these claims, saying the allegations were unsubstantiated, that six civilian areas were targeted, and that the strikes were launched from Indian airspace, with its military stating Indian jets were shot down after releasing their weapons. Pakistanâ€™s prime minister vowed a forceful response, and following a national security council meeting, authorities said the military had been authorised to avenge civilian deaths and violations of sovereignty. The missile attacks occurred around 1am local time, with social media images showing casualties and explosions, while residents along the Line of Control reported heavy overnight exchanges of fire, with Indian authorities saying at least seven civilians were killed on their side and Pakistan reporting five civilian deaths. Reports also indicated at least three Indian air force planes crashed in Indian-administered Kashmir, with local witnesses describing flaming aircraft and explosions, though India did not immediately comment and later said pilots had ejected safely. The strikes, part of Operation Sindhoor, were widely supported across Indiaâ€™s political spectrum, while several airlines suspended flights over parts of India and Pakistan. The escalation followed weeks of rising tensions after the Pahalgam attack, nightly exchanges of gunfire since late April, and renewed international concern, with the United Nations urging maximum restraint and warning that the world could not afford a military confrontation between India and Pakistan.
23	le monde	west		after	India bombs Pakistan, which denounces 'an act of war'	India launched strikes against Pakistan shortly after 1 am on May 7 in an operation named Sindoor, which it said was intended to avenge the April 22 attack on tourists in Pahalgam in Indian-controlled Kashmir that killed 26 people. India stated that it targeted nine sites in Pakistanâ€™s Kashmir and Punjab regions that it said housed bases linked to the militant groups Jaish-e-Mohammed and Lashkar-e-Taiba, claiming the camps were successfully destroyed in missile attacks carried out in locations including Muzaffarabad, Kotli, Muridke, Bagh and Bahawalpur. The Indian defence ministry described the operation as focused, measured and non-escalatory, asserting that no Pakistani military installations were targeted and that restraint was exercised in the selection of targets and methods. Pakistan condemned the strikes as a blatant act of war, said that 24 strikes were carried out across six sites, and reported that a mosque in Bahawalpur in Punjab was among the locations hit, while Islamabad vowed a robust response to the Indian action.
